Department Encoded,Question 1,Question 5,Question 7,Question 8,Question 9 N1,Question 9 N2,Question 9 N3,Question 9 N4,Question 10,Question 11,Question 12,Question 15
1,Neutral,Poor,Agree,Agree,Providing Vision and Direction,Transparent Communication,Recognizing Achievements,Empowering employees,Disagree,"Mentorship & Coaching, Cross-departmental Projects",Disagree,More transparency and trust between management and staff
1,Neutral,Poor,Neutral,Agree,Providing Vision and Direction,Transparent Communication,Empowering Employees,recognizing achievements,Disagree,"Mentorship & Coaching, Cross-departmental Projects",Disagree,Transparency and need to enhance communication between teams
8,Strongly Disagree,Good,Agree,Neutral,Providing Vision and Direction,Transparent Communication,Empowering Employees,recognizing achievements,Strongly Agree,"Training Programs, Mentorship & Coaching",Agree,Develop strong communication accross various teams to create synergy
2,Strongly Agree,Good,Strongly Agree,Strongly Agree,Providing Vision and Direction,recognizing achievements,Transparent Communication,Empowering Employees,Strongly Agree,"Mentorship & Coaching, External Workshops & Certifications",Strongly Agree,approval cycles
2,Agree,Good,Agree,Agree,Providing Vision and Direction,Empowering Employees,recognizing achievements,Transparent Communication,Agree,External Workshops & Certifications,Neutral,need more space and pingpong
2,Neutral,Neutral,Agree,Agree,Providing Vision and Direction,Empowering Employees,recognizing achievements,Transparent Communication,Neutral,"Training Programs, External Workshops & Certifications",Disagree,work environment 
2,Disagree,Neutral,Strongly Agree,Agree,Providing Vision and Direction,recognizing achievements,Transparent Communication,Empowering Employees,Neutral,"Training Programs, Cross-departmental Projects",Neutral,cross functional projects and the training programs as well as the work environment and work space 
2,Agree,Neutral,Agree,Agree,Empowering Employees,Providing Vision and Direction,Transparent Communication,recognizing achievements,Agree,"External Workshops & Certifications, Mentorship & Coaching",Neutral,better environment 
2,Agree,Neutral,Agree,Agree,recognizing achievements,Providing Vision and Direction,Transparent Communication,Empowering Employees,Neutral,"Training Programs, External Workshops & Certifications",Neutral,
11,Strongly Agree,Excellent,Strongly Agree,Strongly Agree,Empowering Employees,Transparent Communication,recognizing achievements,Providing Vision and Direction,Strongly Agree,Mentorship & Coaching,Strongly Agree,nothing
7,Strongly Agree,Good,Agree,Strongly Agree,Empowering Employees,recognizing achievements,Providing Vision and Direction,Transparent Communication,Agree,"Leadership Development Programs, External Workshops & Certifications",Agree,open minded 
12,Agree,Good,Strongly Agree,Strongly Agree,Transparent Communication,Empowering Employees,Providing Vision and Direction,recognizing achievements,Neutral,"Cross-departmental Projects, Training Programs",Strongly Agree,attetion to employee training ang give them more financial benifits 
10,Agree,Good,Agree,Agree,Providing Vision and Direction,recognizing achievements,Empowering Employees,Transparent Communication,Neutral,"Mentorship & Coaching, Leadership Development Programs",Agree,
8,Agree,Neutral,Agree,Agree,Transparent Communication,recognizing achievements,Providing Vision and Direction,Empowering Employees,Agree,External Workshops & Certifications,Agree,
