2046	نعم، خلال فترة التجربة (اللي مدتها القصوى 3 شهور)، العامل يقدر ينهي العقد من غير ما يدفع تعويض، ومش ملزم بإعطاء سبب، لكن يفضل يبلغ جهة العمل قبلها بوقت كافٍ.
2047	ده بيتوقف على طبيعة الشغل. لو شغلك دائم، يبقى في الغالب شهري. أما لو مؤقت أو بنظام اليومية، فممكن يكون أسبوعي أو يومي. المهم إن طريقة صرف الأجر تتكتب بوضوح في العقد من البداية.
2048	القانون الجديد بيشجّع تحويل المرتب على الحساب البنكي لحماية العامل وضمان الشفافية. لكن لو العامل ماعندوش حساب، ممكن ياخده نقدي (كاش)، بشرط استلامه بتوقيع أو إيصال.
2049	في عام 2025، الحد الأدنى للأجر في القطاع الخاص اتحدد بـ3000 جنيه شهريًا. والرقم ده ممكن يتغير حسب قرارات المجلس القومي للأجور كل فترة.
2050	أيوه، كل سنة لازم المرتب يزيد بنسبة لا تقل عن 3% من الأجر الأساسي على الأقل. وده بيكون حق للعامل بشكل تلقائي بدون ما يطلبه، حتى لو ما اتفقوش عليه في العقد.
2051	الزيادة السنوية اللي القانون بيفرضها (3%) بتكون على الأجر الأساسي، مش على الأجر التأميني. الأجر الأساسي هو المرتب اللي مكتوب في العقد واللي بتحسب عليه الزيادة السنوية.
2052	بعض أنواع العلاوات المنتظمة (اللي بتتكرر كل شهر أو بانتظام) ممكن تدخل في حساب الأجر التأميني. لكن الحوافز أو المكافآت اللي بتتصرف بشكل غير منتظم غالبًا ما بتتحسبش في التأمين.
2053	القانون حدد إن مجموع الخصومات الشهرية من المرتب (زي سلفة أو غرامات) ماينفعش يزيد عن 25% من صافي المرتب.
2054	لا، القانون حط حد أقصى للخصم، وهو ربع المرتب (25%)، إلا في حالات نادرة زي النفقة أو تنفيذ حكم قضائي، ودي ممكن توصل لـ50%.
2055	الشركة أو جهة العمل هي المسؤولة عن حساب المرتب، وخصم الضرائب والتأمينات الاجتماعية ودفعها للجهات الحكومية. العامل بيستلم المرتب بعد الخصومات دي.
2056	لو المرتب اتأخر أكتر من 7 أيام من تاريخ الاستحقاق، العامل من حقه يشتكي في مكتب العمل، والقانون بيعتبر ده تأخير غير مبرر وبيحاسب عليه صاحب الشغل.
2057	لو المرتب ما اتصرفش لأي سبب (زي الإهمال من جهة العمل)، العامل ليه حق يطالب بيه، وبيتدفع له بأثر رجعي. مفيش حاجة اسمها المرتب يسقط مع الوقت.
2058	في النهار: الساعة الإضافية تتحسب بـ135% من الأجر العادي. في الليل أو في الإجازات الرسمية: تتحسب بـ170% أو أكتر، حسب ظروف العمل.
2059	أقصى حد للخصم من المرتب هو 25% من صافي المرتب، زي ما القانون حدد، إلا إذا في حكم قضائي زي النفقة.
2060	لو اتفقت مع الشركة كتابيًا إنك تلتزم بفترة معينة بعد التدريب، وسِبت الشغل قبل ما تكمّل المدة دي، ساعتها ممكن الشركة تطلب منك تدفع جزء من تكلفة التدريب، لكن لازم ده يكون مكتوب بوضوح في العقد.
2061	لو أخدت مبلغ زيادة عن طريق الخطأ (زي سلفة أو راتب زائد)، صاحب الشغل يقدر يخصمه منك لاحقًا، بس لازم يتم خصمه بشكل تدريجي وما يزيدش عن 25% من راتبك الشهري، إلا لو وافقت على غير كده.
2062	نعم، الضرائب والتأمينات مش داخلة في الحد الأقصى للخصومات (الـ25%)، لأنها إلزامية من الدولة. يعني ممكن المرتب يتخصم منه ضرائب وتأمينات فوق الـ25% حسب القانون.
2063	أيوه، لو الشركة حسبتلك المرتب غلط (أكتر أو أقل)، ليها الحق تعدّل الغلط في الشهر اللي بعده، بشرط تشرحلك سبب الخصم أو التعديل، وتوريلك الحسابات بوضوح.
2064	مسموح يخصموا منك قيمة الزي أو الأدوات اللي كسّرتها أو ضيّعتها بإهمالك، لكن بشرط ما يزيدش الخصم عن 10% من مرتبك الشهري، ولازم يكون فيه تحقيق وتقرير مكتوب.
2065	حتى لو وافقت في العقد، القانون بيحميك، ومش مسموح يخصموا أكتر من النسب المحددة (زي 25% للديون، 10% للأدوات... إلخ). موافقتك في العقد لا تلغي الحماية القانونية.
2066	أيوه، بيتم خصم اشتراك التأمينات من المرتب الشهري للعامل بنسبة 11% من الأجر التأميني. ده جزء إلزامي من التأمين الاجتماعي.
2067	أيوه، بمجرد ما تبدأ الشغل، صاحب العمل ملزم يسجلك في التأمين الاجتماعي من أول يوم. ولو ما عملش كده، تقدر تشتكيه وهيتحمل الغرامة.
2068	النسبة بتتقسم كالتالي: العامل: 11% من الأجر التأميني, صاحب العمل: حوالي 18.75%, وده بيغطي المعاشات، إصابات العمل، والتأمين الصحي.
2069	الحد الأدنى بيتحدد سنويًا بقرار من الهيئة العامة للتأمينات. في 2025، الحد الأدنى حوالي 1700 جنيه، والحد الأقصى وصل لـ11200 جنيه، وده بيزيد تدريجيًا كل سنة.
2070	سن التقاعد حاليًا هو 60 سنة. بعد السن ده، الموظف بيخرج على المعاش ويبدأ ياخد معاش شهري من التأمينات حسب عدد سنين اشتراكه.
2071	أيوه، في فرق. سن المعاش هو السن اللي بيبدأ فيه العامل ياخد معاش من التأمينات (عادةً 60 سنة). لكن عقد العمل ممكن ينتهي قبل كده بسبب استقالة، أو فصل، أو انتهاء مدة العقد. وكمان ممكن العامل يفضل يشتغل بعد سن المعاش باتفاق الطرفين.
2072	أيوه، العامل اللي وصل لسن الستين من حقه ياخد مكافأة نهاية الخدمة، وده بيكون ضروري خاصة لو ماكنش عنده تأمين اجتماعي أو معاش حكومي. لو هو مأمن عليه، بيكون له معاش، ولو مش مأمن عليه، بياخد المكافأة من الشركة.
2073	المكافأة بتتحسب على حسب مدة الشغل: أول 5 سنين بياخد العامل نص شهر عن كل سنة، وبعد كده بياخد شهر كامل عن كل سنة إضافية. يعني لو اشتغلت 8 سنين، يبقى ليك (5 × نصف شهر = 2.5 شهر) + (3 × شهر = 3 شهور) = 5.5 شهر من آخر مرتب ثابت.
2074	لو العامل كان مأمن عليه، بياخد معاش شهري من هيئة التأمينات. أما لو ماكنش عنده تأمين، فالشركة لازم تديله مكافأة نهاية الخدمة مباشرة، لأنه مش هيكون ليه معاش حكومي.
2075	لو العامل اشتغل بس من غير ما يدخل في نظام التأمينات، مش هيكون ليه معاش من الدولة. في الحالة دي، لازم ياخد مكافأة عن كل سنة اشتغلها في المكان من صاحب العمل.
2076	آه، العامل من حقه يقرر يتقاعد لما يوصل لسن الستين. لو قرر يسيب الشغل قبل كده، دي بتعتبر استقالة، وساعتها ليه ياخد حقوقه بس مش هيطلعله معاش إلا لو مأمن عليه وكان مستوفي شروط التأمينات.
2077	أيوه، لو العامل قدم طلب إنه يسيب الشغل، يقدر يطلب المكافأة، بس لازم يكون السبب مشروع زي التقاعد أو استقالة مقبولة أو نهاية عقد. أهم حاجة تكون خدمته انتهت بطريقة قانونية.
2078	المكافأة هي مبلغ ثابت بياخده العامل عن السنين اللي اشتغلها. أما التعويض، فهو مبلغ إضافي بيتدفع لو حصلت له مشكلة زي فصل تعسفي أو إصابة. الاتنين مختلفين في السبب وطريقة الحساب.
2079	أيوه ممكن، العامل يقدر يشتغل تاني بعد ما يطلع معاش، بس لازم يعرف إن المعاش ممكن يقل لو دخله الجديد كبير أو لو كان بيشتغل في وظيفة بتتعارض مع شروط المعاش.
2080	آه، فيه نماذج رسمية لازم تتملّى وتتقدم سواء لهيئة التأمينات أو للشركة علشان يصرف المعاش أو المكافأة. غالبًا بيتم الصرف خلال شهرين أو تلاتة من وقت التقديم، حسب سرعة الإجراءات.
2081	صاحب العمل مايقدرش يفصل العامل كده من نفسه. لازم يكون في سبب حقيقي ومثبت، والفصل يكون عن طريق المحكمة أو جهة تحقيق رسمية. القانون بيحمي العامل من الفصل التعسفي.
2082	بالضبط، مش من حق صاحب العمل يفصل العامل فجأة أو بدون سبب واضح. لو حصل كده، العامل يقدر يرفع قضية تعويض، لأن القانون بيمنع الفصل التعسفي وبيعتبره غير قانوني.
2083	لو العامل كتب استقالته وهو تحت ضغط أو تهديد، يقدر يطعن عليها في المحكمة ويثبت إنها مش بإرادته. لو المحكمة اقتنعت، تعتبر الاستقالة باطلة، ويرجع العامل لشغله.
2084	الاستقالة معناها إن العامل قرر يسيب الشغل بمزاجه، أما "إنهاء خدمة" فدي بتحصل لما الجهة الإدارية أو الشركة تقرر تنهي عقده لأسباب قانونية أو تنظيمية. الفرق بينهم في مين اللي أخد القرار.
2085	لو العامل قدم استقالة، يقدر يرجع فيها خلال 7 أيام من تاريخ تقديمها، بشرط إنه ما يكونش تم قبولها وتنفيذها فعليًا. ده اسمه "الرجوع في الاستقالة"، والقانون حدد له مدة قصيرة.
2086	لو جهة العمل رفضت تعتمد الاستقالة، العامل بيستمر في شغله عادي. الاستقالة لازم تكون مقبولة عشان تبقى سارية، ولو الشركة ما وافقتش، يبقى الموظف لسه في الخدمة.
2087	أيوه، القانون ماحطش حد أقصى للتعويض عن الفصل التعسفي. المحكمة هي اللي بتحدد المبلغ على حسب الضرر اللي حصل للعامل، وبتراعي عدد سنين الخدمة وظروف الفصل.
2088	مدة الخدمة بتفرق في قيمة التعويض. يعني كل ما العامل كانت خدمته أطول، بيكون التعويض أكبر. وعلشان كده القانون ساب التقدير للمحكمة عشان تحكم بما يتناسب مع كل حالة.
2089	الاستقالة لو كانت من موظف حكومي، بيتم النظر فيها من خلال محكمة القضاء الإداري (محاكم مجلس الدولة)، لأنها بتتعلق بالخدمة العامة مش بالعقود العادية زي القطاع الخاص.
2090	محكمة العمل الجديدة مختصة بحل مشاكل العمل زي الفصل والتعويض والتأخير في المرتبات. العامل يقدر يروحها لو اتفصل أو حصل له مشكلة بدون ما يستنى موافقة أي جهة حكومية.
2091	القانون قال إن الست الحامل يحق لها طلب تقليل ساعات العمل اليومية بداية من الشهر السادس في الحمل، ولو حالتها الصحية محتاجة، تقدر تطلب ده قبل كده بتقرير طبي.
2092	أيوه، القانون صريح في إن الحامل ماينفعش تشتغل شغل إضافي أو فوق عدد الساعات الطبيعي. يعني ماينفعش صاحب الشغل يطلب منها شغل زيادة أو ورديات ليلية أثناء الحمل.
2093	أيوه، الأم المرضعة من حقها يوميًا "فترتين رضاعة" كل واحدة نص ساعة، أو تقدر تدمجهم كساعة كاملة. وده بيستمر لمدة 24 شهر من يوم الولادة.
2094	فترات الرضاعة تعتبر ضمن ساعات العمل الرسمية، يعني ماينفعش صاحب الشغل يخصمهم أو يعتبرهم وقت راحة شخصي، لأن القانون بيعتبرهم جزء من حقوق الأم.
2095	لو الأم رجعت الشغل بعد الولادة في خلال فترة الوضع، مكانها الوظيفي لازم يفضل محفوظ. يعني ماينفعش يتحط حد تاني مكانها أو تتنقل لمكان تاني بدون موافقتها.
2096	الشركة ماينفعش تفصل الحامل لا وهي حامل ولا وهي في إجازة الوضع، ولا بعدها مباشرة. القانون بيمنع فصل الحوامل إلا في حالات شديدة جدًا وتكون مثبتة رسميًا.
2097	التمييز ضد الحوامل ممنوع تمامًا، يعني ماينفعش يمنعوها من الترقية أو يقللوا مرتبها أو يغيروا شغلها بس علشانها حامل. أي حاجة من دي تعتبر تمييز غير قانوني.
2098	لو عدد الموظفات في الشركة 50 أو أكثر، الشركة ملزمة توفر حضانة أو مكان آمن للأطفال، علشان تشجع الأمهات على مواصلة الشغل بعد الولادة.
2099	قانون 2025 شدد على منع التمييز ضد الحوامل في كل مراحل التوظيف، سواء في التعيين أو النقل أو التقييم أو حتى المعاملة اليومية. أي تفرقة بتعتبر مخالفة صريحة.
2100	أيوه، القانون بيلزم صاحب العمل إنه يوفر كل وسائل الحماية اللازمة للعمال، زي الخوذ، الأحذية الواقية، الكمامات، وكل أدوات السلامة حسب طبيعة الشغل. كمان لازم يدربهم إزاي يستخدموها.
2101	في المصانع أو أماكن العمل الكبيرة، لازم يكون في طبيب متخصص في طب العمل أو على الأقل وحدة إسعاف، علشان يتابع الحالة الصحية للعمال ويتصرف بسرعة وقت الإصابات.
2102	لو حصل حادث أو إصابة، المسؤولية بتكون على صاحب العمل لو كان مقصر في إجراءات السلامة أو موفّرش الأدوات اللازمة للحماية. أما لو العامل أهمل بنفسه، ساعتها بيتحسب الموقف حسب التحقيق.
2103	أيوه، القانون بيحدد أدوات حماية أساسية لازم تتوفر حسب نوع الشغل، زي خوذة، نظارات واقية، قفازات، وغيره. أي مكان عمل معرض للخطر لازم يوفر الحد الأدنى ده للعاملين.
2104	أيوه، فيه تفتيش دوري من وزارة العمل أو جهات السلامة المهنية، وبيكون بشكل مفاجئ أحيانًا. الهدف منه التأكد إن المكان آمن والعاملين شغالين في ظروف صحية وسليمة.
2105	أيوه، قانون العمل الجديد اتكلم صراحة عن منع التحرش الجنسي في أماكن العمل، وبيعتبره مخالفة جسيمة ممكن توصل لفصل المتحرش أو حتى حبسه، حسب الحالة.
2106	لا، القانون بيمنع تمامًا إن صاحب العمل يعاقب الضحية اللي اشتكت من تحرش أو إساءة. ولو حصل كده، الضحية ليها حق تشتكي وتاخد تعويض وتحمي نفسها قانونيًا.
2107	مش كل الوظائف لازم فيها فحص سجل جنائي، لكن في شغلانات حساسة زي التعامل مع فلوس أو أطفال أو أمن، من حق صاحب العمل يطلب سجل جنائي للتأكد من سلامة الموظف.
2108	لما العامل يعدي سن الستين، بيخرج من الشغل بشكل طبيعي، وساعتها يقدر ياخد مكافأة نهاية الخدمة عن كل السنين اللي اشتغلها، وكمان لو مأمن عليه، بياخد معاش شهري من التأمينات.
2109	المكافأة بتتحسب كالتالي: نص شهر عن كل سنة من أول 5 سنين شغل، وبعد كده شهر كامل عن كل سنة إضافية. الحساب بيتم على آخر مرتب ثابت حصل عليه العامل.
2110	أيوه، العامل يقدر ياخد المكافأة حتى لو هو اللي قرر يسيب الشغل بعد سن الستين. مش لازم يكون اتفصل، المهم إن خدمته انتهت بعد ما كمل المدة المطلوبة.
2111	لو العامل توفى وهو لسه في الخدمة، أهله (الزوج/الزوجة، الأولاد، والوالدين) ليهم الحق ياخدوا كل مستحقاته، زي المرتب المتبقي، مكافأة نهاية الخدمة، وأي تعويض إن وجد.
2112	أيوه، التأمين الصحي بيغطي الأمراض والإصابات اللي بتحصل أثناء الشغل أو بسبب ظروف الشغل. وفيه حاجة اسمها "إصابة عمل"، ودي بيكون ليها علاج وتعويض خاص.
2113	لو العامل اتصاب إصابة خطيرة في الشغل، جهة العمل أول من يتحرك ويتكفل بعلاجه فورًا، والتأمين بيدخل كمان حسب نوع الإصابة. كمان بيتحسب له تعويض عن الضرر اللي حصل.
2114	أيوه، كل موظف بيتخصم منه جزء شهري من مرتبه كمساهمة في التأمينات والمعاشات، والشركة كمان بتدفع نسبة تانية. ده بيساعد إنه يطلع له معاش بعد كده أو يتعالج لو حصله حاجة المعاش بعد التقاعد بياخده العامل نفسه بشكل شهري لو كان مأمن عليه وبلغ سن المعاش (60 سنة). ولو العامل توفى، المعاش بيتحول للمستحقين من أسرته زي الزوجة أو الزوج، والأبناء، وأحيانًا الوالدين، بشرط تنطبق عليهم الشروط اللي حددتها التأمينات.
2115	استمارة 6 هي ورقة بتصدرها الشركة لما العامل يسيب الشغل، سواء استقال أو اتفصل، وبيكون فيها تاريخ انتهاء خدمته. زمان كانت بتستخدم بشكل خاطئ أحيانًا لفصل الناس، لكن دلوقتي لازم توقيع العامل، وممكن يطعن عليها لو ثبت إنها اتقدمت بدون علمه.
2116	القانون حدد 7 أيام فقط من تقديم الاستقالة علشان العامل يقدر يتراجع عنها. لو عدت المدة دي بدون ما يطلب التراجع، بتعتبر استقالته نهائية.
2117	لا، مش شرط العامل يروح بنفسه مكتب العمل أو جهة إدارية، لكن الشركة لازم تبلغ مكتب التأمينات والجهات المعنية. ولو العامل شاكك إن الاستقالة حصلت غصب عنه، ممكن يلجأ للمحكمة.
2118	لو اتفصل العامل بدون سبب قانوني، من حقه يرفع قضية تعويض في محكمة العمل. المحكمة بتحكم له بمبلغ حسب الضرر اللي حصل له، وعدد سنين خدمته، وظروف الفصل.
2119	التعويض مفيش له حد معين في القانون، والمحكمة بتحسبه بناءً على عدد سنين الخدمة، المرتب، وطبيعة الفصل. يعني كل حالة بيكون ليها تقديرها حسب الظلم اللي حصل.
2120	آه، لو العامل مشي بالاستقالة، ولسه له مدة شغل طويلة، في بعض الحالات بيكون ليه مكافأة نهاية خدمة، خاصة لو العقد محدد المدة أو الشركة وافقت. لكن في حالات تانية، ممكن مايكونش ليه حق فيها إلا لو نص العقد أو القانون على كده.
2121	محكمة العمل الجديدة بتستقبل شكاوى الفصل، والتأخير في المرتب، ومشاكل العقود. العامل مش محتاج موافقة من أي جهة علشان يرفع قضية، يقدر يروح المحكمة على طول ويفتح بلاغ، والمحكمة تراجع كل أوراقه وتحكم بالحق.
2122	أيوه، قانون العمل المصري بيلزم صاحب العمل بتوفير وسائل الحماية والوقاية المناسبة للعاملين علشان يحافظ على صحتهم وسلامتهم. لازم كمان يقدّم تدريب للعاملين على استخدام أدوات الوقاية ويتأكد إنها شغّالة وجاهزة دايمًا.
2123	أيوه، القانون بيطلب وجود طبيب عمل أو على الأقل مسعف أولي في المنشآت اللي فيها عدد كبير من العمال أو حسب طبيعة الخطر في الشغل. وده لضمان التدخل السريع في حالة الطوارئ.
2124	لو حصلت إصابة عمل، صاحب العمل هو المسؤول عن تغطية تكاليف العلاج والتعويض، وده بيكون من خلال التأمينات الاجتماعية، لكن في حالات الإهمال الجسيم من صاحب العمل، ممكن يتحمّل مسؤولية أكبر.
2125	أيوه، القانون بيدي الحق للعامل إنه يرفض الشغل اللي فيه خطر واضح على صحته أو سلامته، خصوصًا لو صاحب العمل موفّرش وسائل الحماية اللازمة. بس لازم العامل يبلغ المشرف أو المسؤول.
2126	أيوه، القانون بقى واضح في النقطة دي. بيجرّم أي سلوك فيه تنمّر أو إساءة في مكان العمل، سواء من الزملاء أو المديرين. والعقوبات بتتدرج حسب الحالة.
2127	أيوه، صاحب العمل لازم يتخذ إجراءات وقائية واضحة لمنع التحرش الجنسي في الشغل، زي وضع لائحة سلوك، والتوعية، وتخصيص جهة لتلقي الشكاوى والتعامل معاها بسرية.
2128	أيوه، القانون المصري بيحدد ضوابط للسلامة المهنية، وبيطلب الفحص الطبي الدوري للعاملين في بعض الأنشطة اللي فيها مخاطر صحية، علشان يطمن على صحتهم ويكتشف أي مشكلة بدري.
2129	لو لقيت مخالفات سلامة، تقدر تتظلم وتقدّم شكوى لمكتب العمل أو لهيئة السلامة والصحة المهنية، وهما بيحققوا في المخالفة وبيتخذوا الإجراءات اللازمة.
2130	أيوه، القانون بيطلب تشكيل لجنة للسلامة والصحة المهنية في المنشآت الكبيرة، خصوصًا اللي فيها أكتر من عدد معين من العمال. اللجنة دي بتتابع تطبيق إجراءات السلامة.
2131	أيوه، في مفتشين من وزارة الصحة أو هيئة السلامة المهنية بيزوروا المستشفيات والمنشآت الصحية علشان يتأكدوا من التزامها بشروط السلامة والصحة المهنية.
2132	الحد الأدنى لسن العمل في مصر هو 15 سنة، وده منصوص عليه بوضوح في قانون العمل علشان يحمي الأطفال من الاستغلال ويحافظ على تعليمهم وصحتهم.
2133	القانون فعلاً بيسمح بإن الطفل يشارك في برامج تدريبية من سن 14، لكن ميقدرش يشتغل شغل رسمي إلا بعد ما يتم 15 سنة. وده بشرط موافقة ولي الأمر وتحت رقابة مناسبة.
2134	أيوه، القُصّر تحت 18 سنة ليهم قيود على ساعات العمل. مينفعش يشتغل أكتر من 6 ساعات في اليوم، ولازم يكون ليه ساعة راحة، وممنوع يشتغل فترات متصلة طويلة.
2135	القانون بيمنع تشغيل الأطفال القُصّر في الأعمال الخطيرة أو أثناء الليل، يعني ممنوع يشتغل بعد الساعة 7 مساءً. كمان في قائمة بالأعمال اللي خطر عليهم يشتغلوا فيها، زي البناء أو المواد الكيميائية.
2136	لو الطالب في المدرسة وعايز يشتغل جزئي، لازم الشغل ما يأثرش على دراسته ولا صحته. ولازم يكون الشغل خفيف وتحت إشراف، وموافقة ولي الأمر مطلوبة.
2137	أيوه، ممكن الأطفال من 15 لـ 17 يشاركوا في مشاريع صغيرة أو أنشطة مجتمعية بشرط إنها تكون آمنة وتعليمية، ومفيهاش خطر عليهم، وتكون تحت إشراف مناسب.
2138	آه، القانون بيشترط إن الطفل اللي أقل من 15 سنة يكون في مرحلة التعليم الإلزامي. يعني مش المفروض يسيب المدرسة علشان يشتغل، إلا بعد ما يكمل المرحلة التعليمية الأساسية.
2139	القانون بيلزم صاحب العمل بزيادة سنوية لا تقل عن 3% من الأجر التأميني للعامل، وده بيتم بشكل تلقائي كل سنة.
2140	الزيادة السنوية 3% محسوبة على الأجر التأميني، مش المرتب الأساسي، يعني على الأجر اللي بتندفع عليه التأمينات الاجتماعية، واللي غالبًا بيشمل جزء من الحوافز والسكن وغيره.
2141	الحد الأدنى اللي بيزيد سنويًا في مصر بيتم بقرار من المجلس القومي للأجور، وبيكون ملزم للقطاع الخاص، لكن في شركات بتفضل تستخدم الحد الأدنى كمرتب ثابت بدون زيادات حقيقية، وده بيحصل لما مفيش رقابة أو العمال مبيطالبوش بحقوقهم. كمان بعض الشركات بتخلي الزيادة شكلية أو تديها في صورة بدلات.
2142	أيوه، المحكمة الدستورية العليا حكمت في وقت سابق إن العامل ليه حق في زيادة دورية 3% على الأقل من الأجر التأميني. وده بقى جزء من القواعد العامة اللي لازم الشركات تلتزم بيها، حتى لو مفيش نص تفصيلي في عقد العمل.
